Nx,Ny,psf 
14,19,231.93960523
14,20,212.41749177
15,1,210.08451025
15,2,223.56276033
15,3,212.74487713
15,4,193.52574887
15,5,209.23872101
15,6,201.23955167
15,7,231.54606889
15,8,264.80567376
15,9,287.51567197
15,10,298.40898069
15,11,298.40611657
15,12,261.50637402
15,13,255.78957277
15,14,224.52609233
15,15,214.22195584
15,16,196.22917106
15,17,199.52500693
15,18,196.74846777
15,19,197.56503440
15,20,229.08314595
16,1,203.81106498
16,2,240.34329907
16,3,190.37208674
16,4,203.69166504
16,5,194.76283123
16,6,183.23698825
16,7,223.02351038
16,8,222.41711724
16,9,257.69795276
16,10,242.53639623
16,11,232.53334069
16,12,277.68932160
16,13,229.40491167
16,14,232.01144893
16,15,199.22917106
16,16,202.76116636
16,17,196.69436912
16,18,219.37506896
16,19,187.34346375
16,20,204.80852694
17,1,186.75784610
17,2,197.59024614
17,3,205.15510918
17,4,192.88144887
17,5,167.69208551
17,6,224.52552082
17,7,195.04105530
17,8,197.48866431
17,9,205.39603477
17,10,200.13211317
17,11,211.13037192
17,12,196.39152052
17,13,204.48332102
17,14,189.03732557
17,15,199.52500693
17,16,194.69436912
17,17,192.88423953
17,18,191.15596117
17,19,206.58850644
17,20,209.75504207
18,1,216.62163788
18,2,171.41433829
18,3,211.78926121
18,4,203.15524112
18,5,214.37290378
18,6,195.74632471
18,7,220.88404763
18,8,216.52796796
18,9,204.24628479
18,10,181.00244582
18,11,204.00205140
18,12,188.24548953
18,13,182.52768006
18,14,203.88502697
18,15,191.74846777
18,16,253.37506896
18,17,202.15596117
18,18,199.78792366
18,19,196.41180322
18,20,213.61960427
19,1,198.29565853
19,2,211.86820775
19,3,194.41405517
19,4,195.58987003
19,5,205.34339643
19,6,207.56385927
19,7,223.93808981
19,8,191.31952462
19,9,224.21274960
19,10,198.70112886
19,11,216.70134051
19,12,228.21344283
19,13,249.32074574
19,14,214.93960523
19,15,207.56503440
19,16,229.34346375
19,17,217.58850644
19,18,173.41180322
19,19,204.86625131
19,20,192.29498380
20,1,184.25383590
20,2,192.29558967
20,3,185.62122353
20,4,214.75699122
20,5,215.81003649
20,6,206.08382694
20,7,202.41743811
20,8,221.10504307
20,9,217.59736444
20,10,172.25422560
20,11,213.25438709
20,12,220.59777330
20,13,215.10546243
20,14,215.41749177
20,15,194.08314595
20,16,232.80852694
20,17,210.75504207
20,18,218.61960427
20,19,194.29498380
20,20,180.25431583
