Nx,Ny,psf 
13,8,102.50643512
13,9,95.08769409
13,10,84.81351692
13,11,84.81915582
13,12,95.09778513
13,13,102.50700015
13,14,93.23926053
13,15,65.78957277
13,16,32.40491167
13,17,8.48332102
13,18,0.52768006
13,19,3.32074574
13,20,7.10546243
14,1,7.41729566
14,2,4.93589736
14,3,0.88292595
14,4,3.04424268
14,5,18.03036051
14,6,44.55172575
14,7,73.11928859
14,8,93.25139719
14,9,101.53858781
14,10,102.68031248
14,11,102.68038835
14,12,101.53553271
14,13,93.23926053
14,14,73.09697592
14,15,44.52609233
14,16,18.01144893
14,17,3.03732557
14,18,0.88502697
14,19,4.93960523
14,20,7.41749177
15,1,7.08451025
15,2,6.56276033
15,3,2.74487713
15,4,0.52574887
15,5,6.23872101
15,6,22.23955167
15,7,44.54606889
15,8,65.80567376
15,9,80.51567197
15,10,87.40898069
15,11,87.40611657
15,12,80.50637402
15,13,65.78957277
15,14,44.52609233
15,15,22.22195584
15,16,6.22917106
15,17,0.52500693
15,18,2.74846777
15,19,6.56503440
15,20,7.08314595
16,1,5.81106498
16,2,7.34329907
16,3,5.37208674
16,4,1.69166504
16,5,0.76283123
16,6,6.23698825
16,7,18.02351038
16,8,32.41711724
16,9,44.69795276
16,10,51.53639623
16,11,51.53334069
16,12,44.68932160
16,13,32.40491167
16,14,18.01144893
16,15,6.22917106
16,16,0.76116636
16,17,1.69436912
16,18,5.37506896
16,19,7.34346375
16,20,5.80852694
17,1,3.75784610
17,2,6.59024614
17,3,7.15510918
17,4,4.88144887
17,5,1.69208551
17,6,0.52552082
17,7,3.04105530
17,8,8.48866431
17,9,14.39603477
17,10,18.13211317
17,11,18.13037192
17,12,14.39152052
17,13,8.48332102
17,14,3.03732557
17,15,0.52500693
17,16,1.69436912
17,17,4.88423953
17,18,7.15596117
17,19,6.58850644
17,20,3.75504207
18,1,1.62163788
18,2,4.41433829
18,3,6.78926121
18,4,7.15524112
18,5,5.37290378
18,6,2.74632471
18,7,0.88404763
18,8,0.52796796
18,9,1.24628479
18,10,2.00244582
18,11,2.00205140
18,12,1.24548953
18,13,0.52768006
18,14,0.88502697
18,15,2.74846777
18,16,5.37506896
18,17,7.15596117
18,18,6.78792366
18,19,4.41180322
18,20,1.61960427
19,1,0.29565853
19,2,1.86820775
19,3,4.41405517
19,4,6.58987003
19,5,7.34339643
19,6,6.56385927
19,7,4.93808981
19,8,3.31952462
19,9,2.21274960
19,10,1.70112886
19,11,1.70134051
19,12,2.21344283
19,13,3.32074574
19,14,4.93960523
19,15,6.56503440
19,16,7.34346375
19,17,6.58850644
19,18,4.41180322
19,19,1.86625131
19,20,0.29498380
20,1,0.25383590
20,2,0.29558967
20,3,1.62122353
20,4,3.75699122
20,5,5.81003649
20,6,7.08382694
20,7,7.41743811
20,8,7.10504307
20,9,6.59736444
20,10,6.25422560
20,11,6.25438709
20,12,6.59777330
20,13,7.10546243
20,14,7.41749177
20,15,7.08314595
20,16,5.80852694
20,17,3.75504207
20,18,1.61960427
20,19,0.29498380
20,20,0.25431583
