Nx,Ny,psf 
14,18,177.33062302
14,19,155.70101653
14,20,122.44515503
15,1,110.46438453
15,2,150.00363048
15,3,177.37261573
15,4,204.20618426
15,5,259.19724345
15,6,365.90368270
15,7,521.74948587
15,8,695.53220154
15,9,843.14258009
15,10,926.98088851
15,11,926.94302240
15,12,843.03776597
15,13,695.38630830
15,14,521.60036173
15,15,365.78704693
15,16,259.12900380
15,17,204.17522982
15,18,177.35247447
15,19,149.97449845
15,20,110.42655203
16,1,92.66963419
16,2,134.88602527
16,3,169.70461967
16,4,195.75767303
16,5,227.56851022
16,6,284.22229500
16,7,372.60157660
16,8,479.17548323
16,9,575.69253531
16,10,632.86712113
16,11,632.84091394
16,12,575.62211937
16,13,479.08274261
16,14,372.51360431
16,15,284.15890687
16,16,227.53243706
16,17,195.73549271
16,18,169.67927755
16,19,134.85117582
16,20,92.63337897
17,1,72.55284362
17,2,111.30769425
17,3,150.96221055
17,4,182.73165256
17,5,208.28530398
17,6,237.49916090
17,7,278.66494731
17,8,329.95273217
17,9,378.79267523
17,10,408.78127421
17,11,408.76735321
17,12,378.75621787
17,13,329.90690651
17,14,278.62366670
17,15,237.46923990
17,16,208.26317393
17,17,182.70782511
17,18,150.93059632
17,19,111.27186043
17,20,72.52324806
18,1,55.11669490
18,2,84.14661810
18,3,121.63592705
18,4,158.12911984
18,5,187.75669309
18,6,211.27425814
18,7,232.98780054
18,8,255.22537794
18,9,275.42222142
18,10,287.81660324
18,11,287.81083059
18,12,275.40718878
18,13,255.20624813
18,14,232.96872380
18,15,211.25525417
18,16,187.73414966
18,17,158.10005804
18,18,121.60252674
18,19,84.11642414
18,20,55.09742401
19,1,44.44227482
19,2,60.78709295
19,3,88.51055647
19,4,122.23427935
19,5,154.88467998
19,6,181.94646424
19,7,202.63728534
19,8,218.09047329
19,9,229.00438491
19,10,234.86911514
19,11,234.86648793
19,12,228.99696412
19,13,218.07903321
19,14,202.62178118
19,15,181.92583944
19,16,154.85839847
19,17,122.20454299
19,18,88.48283911
19,19,60.76753362
19,20,44.43340685
20,1,41.01524944
20,2,46.92157797
20,3,61.61756923
20,4,84.81150683
20,5,112.45197888
20,6,139.48399063
