Nx,Ny,psf 
11,19,27.26379043
11,20,46.35290200
12,1,47.35037345
12,2,29.81163789
12,3,22.81940122
12,4,89.37557832
12,5,275.81690350
12,6,566.52610509
12,7,884.40972734
12,8,1141.45250761
12,9,1294.73242602
12,10,1357.05706407
12,11,1357.03291093
12,12,1294.64341477
12,13,1141.27278546
12,14,884.14950599
12,15,566.24810266
12,16,275.60224974
12,17,89.26889128
12,18,22.80314396
12,19,29.83018368
12,20,47.35735321
13,1,48.41299805
13,2,34.97368166
13,3,20.64002803
13,4,58.32376570
13,5,195.32043990
13,6,431.48154347
13,7,711.27826675
13,8,959.07726175
13,9,1125.48309841
13,10,1203.05538390
13,11,1203.02309555
13,12,1125.37849946
13,13,958.89355226
13,14,711.03911876
13,15,431.24665480
13,16,195.15400715
13,17,58.25231753
13,18,20.63856597
13,19,34.99179252
13,20,48.41501525
14,1,47.77147699
14,2,41.71388357
14,3,23.77437487
14,4,32.09591028
14,5,110.46162530
14,6,273.06280206
14,7,489.26716152
14,8,701.93574641
14,9,861.14194818
14,10,943.01303465
14,11,942.97746362
14,12,861.03571035
14,13,701.76884320
14,14,489.07234739
14,15,272.89111166
14,16,110.35581910
14,17,32.06341806
14,18,23.78553447
14,19,41.72796698
14,20,47.76674726
15,1,43.50318158
15,2,47.12114121
15,3,32.98701500
15,4,22.12582374
15,5,48.81075475
15,6,134.89477126
15,7,271.52698799
15,8,423.29841424
15,9,548.68030980
15,10,617.99101805
15,11,617.96005700
15,12,548.59273654
15,13,423.17262173
15,14,271.39557841
15,15,134.79446424
15,16,48.76301076
15,17,22.12381446
15,18,33.00251087
15,19,47.12695901
15,20,43.49172440
16,1,34.79154414
16,2,47.26689089
16,3,43.50658127
16,4,28.96803310
16,5,24.26315011
16,6,50.34132869
16,7,112.21686750
16,8,194.51244875
16,9,270.47613013
16,10,315.37559005
16,11,315.35506524
16,12,270.42071351
16,13,194.43967673
16,14,112.15085654
16,15,50.30231799
16,16,24.25611976
16,17,28.97994854
16,18,43.51667732
16,19,47.26251398
16,20,34.77597504
17,1,23.12999791
17,2,39.86160669
17,3,47.77782070
17,4,42.08596618
17,5,29.86362303
17,6,24.84886999
17,7,36.66594838
17,8,63.67288275
17,9,94.27262935
17,10,114.20592747
17,11,114.19653862
17,12,94.24880494
17,13,63.64576119
17,14,36.64798753
17,15,24.84659151
17,16,29.87311029
17,17,42.09553227
17,18,47.77701637
17,19,39.84943876
17,20,23.11495722
18,1,12.23803586
18,2,26.73756665
18,3,41.30143085
18,4,47.80704370
18,5,44.09414625
18,6,35.02709414
18,7,27.91488624
18,8,26.83956603
18,9,30.45557634
18,10,34.15176474
18,11,34.14983838
18,12,30.45167723
18,13,26.83792273
18,14,27.91863289
18,15,35.03507443
18,16,44.10075573
18,17,47.80609252
18,18,41.29140834
18,19,26.72358361
18,20,12.22805939
19,1,6.09734464
19,2,13.57935076
19,3,26.79340733
19,4,39.80556039
19,5,47.23117207
19,6,47.62319917
19,7,43.38537206
19,8,38.16394443
19,9,34.37604415
19,10,32.60950705
19,11,32.61023549
19,12,34.37843950
19,13,38.16805957
19,14,43.38996478
19,15,47.62539442
19,16,47.22789956
19,17,39.79614156
19,18,26.78106687
